, name,album,artist,release_date,length,popularity,dancebility,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_date
0,Khala My Friend,"Welcome To Zamrock! How Zambia's Liberation Led To a Rock Revolution, Vol. 1 (1972-1977)",Various Artists,2017-05-19,200933,46,0.113,0.549,0.517,0.255,0.205,-13.633,0.0239,88.003,4,2021-12-20
1,See The Storm,"Welcome To Zamrock! How Zambia's Liberation Led To a Rock Revolution, Vol. 2 (1972-1977)",Various Artists,2017-06-23,222360,38,0.808,0.336,0.421,0.00286,0.402,-8.785,0.0327,172.412,4,2021-12-20
2,Games,Habibi Funk: An Eclectic Selection of Music from the Arab World (Habibi Funk 007),Various Artists,2017-12-01,207000,39,0.258,0.577,0.717,0.000132,0.0474,-8.659,0.0675,141.82,4,2021-12-20
3,Ayonha,Tape 19.11 / Ayonha,Ahmed Malek,2017-10-25,221500,53,0.54,0.718,0.73,0.0137,0.147,-7.405,0.0292,122.904,4,2021-12-20
4,Lazy Nina,Pulse (Expanded Edition),Greg Phillinganes,1984,326613,49,0.183,0.625,0.5,3.37e-06,0.0378,-9.104,0.0873,202.318,4,2021-12-20
5,Accordion,"Madvillain, Vol. 1",Abstract Orchestra,2018-11-02,194487,44,0.31,0.829,0.533,0.929,0.123,-6.449,0.0412,94.016,4,2021-12-20
6,Hare Jaya Jaya Rama I,"Vision Songs, Vol.1",Laraaji,2018-01-19,341786,35,0.167,0.468,0.415,0.000121,0.055,-16.205,0.0263,109.872,4,2021-12-20
7,Alive Without Medicine,Soft Hair,Soft Hair,2016-10-28,305906,40,0.702,0.86,0.474,0.537,0.115,-8.94,0.197,144.879,4,2021-12-20
8,Take Me For a Little While,Royal Jesters: English Oldies,The Royal Jesters,2015-06-23,192506,46,0.033,0.424,0.709,0.0,0.256,-5.898,0.0322,93.123,4,2021-12-20
9,"Closed Place, Open World","Closed Place, Open World",Slauson Malone,2018-06-12,163841,42,0.913,0.492,0.431,0.894,0.129,-12.106,0.155,97.988,4,2021-12-20
10,Las Oladas,Ranil y su Conjunto Tropical,Ranil,2020-03-20,190980,35,0.332,0.656,0.637,0.25,0.0615,-9.52,0.151,97.653,4,2021-12-20
11,Home,Uptown (Digitally Remastered),Gloria Barnes,2015-12-11,169680,46,0.0502,0.458,0.602,2e-06,0.21,-9.274,0.179,170.017,4,2021-12-20
12,Conduct,The Return of The Durutti Column,The Durutti Column,1979-01-01,304933,35,0.892,0.58,0.405,0.367,0.161,-9.007,0.0362,115.308,4,2021-12-20
13,I Gotcha,Solutions,Greenflow,2015-06-24,301560,9,0.923,0.758,0.383,0.836,0.0983,-15.942,0.0437,147.53,4,2021-12-20
14,Trust in Me Baby,Sweet Soul Baby- Rare and Hard to Find Soul 45s,Various Artists,2021-04-04,176117,40,0.675,0.49,0.537,0.954,0.117,-7.754,0.0375,144.014,4,2021-12-20
15,Take off Your Clothes and Feel the Setting Sun,The Oimels,Wolfgang Dauner,2015-07-17,241013,30,0.548,0.476,0.449,8.25e-05,0.205,-12.473,0.0433,139.421,4,2021-12-20
16,Mã,Estudando o samba,Tom Zé,1976-01-01,236000,32,0.0563,0.795,0.583,0.531,0.134,-7.366,0.0816,126.802,4,2021-12-20
17,Black Power,Black Power,Peace,2016-05-06,205426,34,0.904,0.718,0.66,0.0559,0.215,-8.717,0.0329,128.783,4,2021-12-20
18,Poor Side Of Town,"Up, Up And Away",The 5th Dimension,1967,201200,36,0.713,0.174,0.144,0.00198,0.237,-15.657,0.0307,84.95,4,2021-12-20
19,The Spiritually Immature Mansion,Yeti,Caribou,2005-03-07,131026,35,0.138,0.783,0.432,0.865,0.137,-17.853,0.0501,103.917,4,2021-12-20
20,All I Wanna Do - Remastered 2009,Sunflower,The Beach Boys,1970-08-31,156466,53,0.0716,0.447,0.416,0.00426,0.125,-12.181,0.0258,103.068,4,2021-12-20
21,タイム・リミット,CASIOPEA,CASIOPEA,1979,187200,43,0.156,0.614,0.712,0.791,0.0711,-9.198,0.05,129.188,4,2021-12-20
22,Alech,Alech / Soul Brother (Habibi Funk 001),Dalton,2015-06-26,216000,33,0.368,0.659,0.987,0.0,0.542,-8.097,0.0894,144.092,4,2021-12-20
23,Scorpittiarus,Still Loving You,Twilight,2010-05-11,215293,36,0.692,0.602,0.887,0.0,0.239,-7.558,0.0747,74.682,4,2021-12-20
24,Come On Home,Horizon Unlimted,Lijadu Sisters,1979-01-01,316866,50,0.0796,0.516,0.547,0.000192,0.0808,-7.851,0.0834,96.864,4,2021-12-20
25,Mashena,Mashena,The Scorpios,2018-06-15,189738,29,0.118,0.616,0.823,0.0895,0.0342,-2.188,0.0372,108.741,4,2021-12-20
26,I Tried,Herculean House Of Cards,Trey Gruber,2019-06-28,181237,45,0.403,0.713,0.365,0.0503,0.223,-8.165,0.0408,122.275,4,2021-12-20
27,Woman Of The World,Street Lady,Donald Byrd,1973-01-01,411200,38,0.674,0.683,0.533,0.206,0.381,-10.53,0.032,115.355,4,2021-12-20
28,"Oooh, Baby","Oooh, Baby",Pamoja,2019-05-10,220588,41,0.0671,0.735,0.67,0.00525,0.0787,-11.859,0.0412,100.966,4,2021-12-20
29,Free My People,"Soul Jazz Records Presents Nigeria Soul Fever: Afro Funk, Disco And Boogie: West African Disco Mayhem!",Various Artists,1978,292680,34,0.136,0.601,0.711,0.00187,0.249,-10.698,0.106,119.385,4,2021-12-20
